joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
-0.837687,0.052448,0.108804,0.077504,-0.009165,-0.037928,0.049624,0.146129,0.000000,-0.194827,0.066615,0.045127,0.001345,0.041110,-0.218682,-0.098427,0.056031,0.214852,-0.142654,0.152057,-0.106138,0.036967,0.033081,0.133616,-0.069519,0.000001,0.074753,0.000001,-0.000000
-1.097669,-0.019534,0.118233,0.102941,-0.036068,-0.063506,0.002848,0.145140,0.000000,-0.288305,0.204606,0.026773,0.000180,0.104675,-0.292245,-0.117427,0.085863,0.226267,-0.117574,0.147919,-0.103636,0.032738,0.043464,0.131712,-0.070152,0.000001,0.074891,0.000001,-0.000000
-1.306912,-0.160714,0.061879,0.178454,0.004737,-0.022518,-0.026397,0.075822,0.000000,-0.294886,0.456118,0.000964,0.001393,0.488087,-0.526173,-0.144791,0.090679,0.192287,-0.110650,0.142559,-0.102018,0.028849,0.048611,0.129849,-0.070514,0.000000,0.074051,-0.000000,0.000000
-1.552315,-0.356510,-0.088033,0.306726,0.134460,0.118843,-0.041467,-0.079253,0.000000,-0.324141,0.846255,-0.006474,0.010359,1.475215,-1.070324,-0.194585,0.031046,0.128160,-0.163424,0.138601,-0.103921,0.047129,0.050616,0.130502,-0.070121,-0.000001,0.076158,-0.000001,0.000001
-1.651337,-0.614823,-0.123196,0.234089,0.117604,0.115732,-0.024524,-0.149815,0.000000,-0.109981,1.169193,-0.040585,0.007765,1.924847,-1.237526,-0.191738,0.026052,0.098988,-0.218479,0.136875,-0.099695,0.049067,0.034118,0.130869,-0.069306,0.000000,0.071318,-0.000000,0.000000
-1.554461,-0.806494,-0.026027,-0.003138,-0.037403,-0.030294,0.015961,-0.100584,0.000000,0.240513,1.263457,-0.084313,-0.005091,1.612162,-0.944176,-0.137670,0.078192,0.119358,-0.248286,0.138243,-0.091451,0.033686,0.007364,0.130767,-0.068478,0.000001,0.061949,0.000001,-0.000001
-1.376400,-1.175031,-0.016553,-0.108448,-0.150569,-0.117782,0.078327,-0.124202,0.000000,0.564724,1.452354,-0.157039,-0.043223,1.220841,-0.751789,-0.105228,0.083152,0.098205,-0.273537,0.132534,-0.091112,0.034177,-0.033498,0.126511,-0.070941,0.000000,0.051526,0.000001,-0.000000
-1.288725,-1.525933,-0.032479,-0.124164,-0.203172,-0.149879,0.132772,-0.147813,0.000000,0.870878,1.662366,-0.206286,-0.079283,0.847733,-0.649357,-0.076091,0.072262,0.056241,-0.285295,0.128066,-0.094268,0.046268,-0.062886,0.122838,-0.074454,-0.000001,0.047174,-0.000000,0.000000
-1.463002,-1.664704,-0.011511,-0.092611,-0.176495,-0.129733,0.149496,-0.098555,0.000000,1.167206,1.819974,-0.179578,-0.085919,0.589673,-0.625867,-0.031929,0.076853,0.014174,-0.274623,0.133151,-0.096511,0.065687,-0.055224,0.124490,-0.076776,0.000000,0.056021,-0.000000,0.000000
-1.743371,-1.878766,0.000172,-0.031315,-0.120357,-0.039433,0.143250,-0.024199,0.000000,1.374470,1.840972,-0.203156,-0.159378,0.295149,-0.657408,-0.029835,0.010966,-0.049957,-0.317426,0.128911,-0.108577,0.065637,-0.086176,0.122133,-0.082042,0.000000,0.048525,-0.000000,0.000000
-1.989649,-2.061090,-0.003272,0.029074,-0.062827,0.075871,0.117159,0.038078,0.000000,1.389038,1.714863,-0.265233,-0.262931,0.111421,-0.728210,-0.070857,-0.092456,-0.104085,-0.392303,0.117464,-0.124432,0.046140,-0.140271,0.116946,-0.087617,0.000000,0.028434,-0.000000,0.000000
-2.140448,-2.170400,0.021895,0.082660,-0.007372,0.102253,0.100800,0.060782,0.000000,1.463646,1.706386,-0.267610,-0.343460,-0.152396,-0.744881,-0.016193,-0.165556,-0.037388,-0.403604,0.129773,-0.138460,-0.052530,-0.182754,0.123988,-0.090430,-0.000001,0.009652,0.000000,0.000000
-2.207456,-2.297117,0.039908,0.131726,0.045550,0.112505,0.083048,0.049517,0.000000,1.507208,1.858824,-0.253351,-0.399014,-0.334643,-0.732211,0.039753,-0.187202,0.044362,-0.401946,0.145636,-0.147349,-0.137600,-0.204858,0.132722,-0.091371,-0.000001,-0.001030,0.000000,-0.000000
-2.202350,-2.531647,0.015001,0.178557,0.095481,0.179420,0.052772,0.009885,0.000000,1.428632,2.215458,-0.265521,-0.427642,-0.273653,-0.714991,0.002581,-0.136264,0.035390,-0.437945,0.144854,-0.147786,-0.116301,-0.197813,0.132611,-0.091331,0.000001,0.003183,0.000000,-0.000000
-2.189406,-2.735073,0.170880,0.109345,0.045935,0.043233,-0.468168,0.215600,0.000000,1.947315,2.350870,-0.271942,-0.492582,-1.053259,-0.636050,0.086082,-0.058613,0.039362,-0.426699,0.155801,-0.147760,-0.120172,-0.208235,0.133996,-0.091476,0.000001,-0.000999,0.000000,-0.000000
-2.175112,-2.805702,0.429609,-0.041305,-0.078316,-0.227962,-1.219308,0.563808,0.000000,2.803938,2.197367,-0.269405,-0.561368,-2.283671,-0.534863,0.248506,0.006923,0.054295,-0.373834,0.173001,-0.147284,-0.147277,-0.230920,0.136187,-0.091736,-0.000001,-0.011488,0.000000,-0.000000
-2.173087,-2.744686,0.481564,-0.278464,-0.041791,-0.293372,-1.655033,0.601050,0.000000,3.441857,1.928474,-0.301113,-0.635345,-2.189126,-0.663661,0.266872,-0.005429,0.029636,-0.443481,0.174657,-0.161420,-0.218615,-0.279751,0.134723,-0.095190,-0.000001,-0.025355,0.000000,0.000000
