joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.015477,-0.039400,-0.011325,0.012941,0.004860,0.053234,0.111812,-0.020602,0.520000,0.409792,0.676097,-0.215236,-0.163524,-0.052318,-0.272982,0.373452,-0.427638,0.259040,-0.121264,0.509020,-0.265501,1.219441,1.306082,0.178952,-0.065163,0.300000,0.153911,0.050000,-0.050000
-0.028502,-0.093160,-0.011357,0.017137,0.007435,0.057714,0.112464,-0.020933,0.520000,0.437317,0.725161,-0.220708,-0.172459,-0.056978,-0.287052,0.373008,-0.429684,0.259628,-0.130503,0.511907,-0.268463,1.217399,1.302219,0.181603,-0.066989,0.300000,0.154031,0.050000,-0.050000
-0.072099,-0.148803,-0.004490,0.017315,0.006697,0.054963,0.093085,-0.011978,0.520000,0.487685,0.770132,-0.226113,-0.183228,-0.094448,-0.298424,0.376895,-0.429982,0.260615,-0.138332,0.515252,-0.271412,1.214635,1.297752,0.184312,-0.068822,0.300000,0.153871,0.050000,-0.050000
-0.115506,-0.205388,0.005827,0.015484,0.004302,0.048596,0.063692,0.001619,0.520000,0.549475,0.813056,-0.231485,-0.194914,-0.148325,-0.308447,0.382948,-0.429407,0.261800,-0.145457,0.518827,-0.274354,1.211508,1.292982,0.187050,-0.070659,0.300000,0.153571,0.050000,-0.050000
-0.159023,-0.258591,0.014773,0.006176,0.005025,0.043228,0.026884,0.012064,0.520000,0.625359,0.847271,-0.238158,-0.208641,-0.182013,-0.324971,0.387570,-0.430199,0.261800,-0.156071,0.522238,-0.277869,1.205890,1.286562,0.189701,-0.072630,0.300000,0.152857,0.050000,-0.050000
-0.207488,-0.306516,0.019806,-0.003420,0.010317,0.037742,0.000989,0.016619,0.520000,0.693229,0.879452,-0.245521,-0.219057,-0.217438,-0.341006,0.392171,-0.432682,0.261800,-0.161452,0.525535,-0.281802,1.200916,1.281394,0.192239,-0.074626,0.300000,0.152573,0.050000,-0.050000
-0.265851,-0.343888,0.017014,-0.013594,0.024744,0.032018,-0.003079,0.009396,0.520000,0.745069,0.907565,-0.254263,-0.222848,-0.256333,-0.356063,0.396729,-0.438545,0.261800,-0.156365,0.528602,-0.286574,1.197230,1.278730,0.194551,-0.076672,0.300000,0.153150,0.050000,-0.050000
-0.316819,-0.370701,0.015741,-0.019241,0.030817,0.028711,-0.005129,0.008200,0.520000,0.791575,0.927779,-0.261011,-0.228100,-0.281103,-0.368968,0.401468,-0.444645,0.260375,-0.151690,0.531922,-0.291253,1.194415,1.275836,0.196940,-0.078665,0.300000,0.153646,0.050000,-0.050000
-0.364090,-0.392235,0.015226,-0.022624,0.032711,0.026612,-0.006169,0.010016,0.520000,0.835415,0.944045,-0.266762,-0.234082,-0.298810,-0.380796,0.406298,-0.450864,0.258237,-0.147222,0.535369,-0.295887,1.192035,1.272827,0.199367,-0.080631,0.300000,0.154102,0.050000,-0.050000
-0.411129,-0.415124,0.013928,-0.035580,0.022057,0.022002,-0.007185,0.005261,0.520000,0.869059,0.941244,-0.281208,-0.246072,-0.335607,-0.403677,0.409991,-0.457068,0.254322,-0.143823,0.537867,-0.301029,1.183341,1.264336,0.199747,-0.082889,0.300000,0.153179,0.050000,-0.050000
-0.454564,-0.443524,0.011526,-0.045680,0.014200,0.019017,-0.010000,0.000760,0.520000,0.903954,0.954214,-0.292056,-0.255439,-0.374170,-0.427495,0.414664,-0.465379,0.245361,-0.139598,0.540992,-0.306578,1.175692,1.257013,0.200000,-0.085127,0.300000,0.152658,0.050000,-0.050000
-0.490789,-0.482945,0.006917,-0.050070,0.011939,0.019283,-0.016411,-0.003230,0.520000,0.941350,0.998725,-0.295705,-0.259564,-0.416266,-0.453183,0.421296,-0.477907,0.226309,-0.133722,0.545375,-0.312941,1.170133,1.252022,0.200000,-0.087326,0.300000,0.152939,0.050000,-0.050000
-0.529864,-0.593953,0.006631,-0.041416,0.006457,0.029397,-0.023017,-0.021702,0.520000,0.977784,1.093319,-0.299930,-0.270265,-0.450569,-0.479077,0.427290,-0.492716,0.205577,-0.128521,0.550183,-0.319593,1.165195,1.247901,0.200000,-0.089503,0.300000,0.153315,0.050000,-0.050000
-0.570365,-0.740756,0.008508,-0.026240,-0.000636,0.044436,-0.029722,-0.047416,0.520000,1.013738,1.212957,-0.304443,-0.284254,-0.480976,-0.505072,0.432964,-0.508665,0.184005,-0.123658,0.555203,-0.326390,1.160567,1.244215,0.200000,-0.091670,0.300000,0.153739,0.050000,-0.050000
-0.611589,-0.847521,0.013389,-0.019677,-0.006973,0.045260,-0.024485,-0.055595,0.520000,1.059311,1.305706,-0.301047,-0.292783,-0.495029,-0.480454,0.448902,-0.530368,0.174360,-0.115959,0.562828,-0.334252,1.155112,1.241688,0.200000,-0.094022,0.300000,0.155419,0.050000,-0.050000
-0.653378,-0.942324,0.017870,-0.013914,-0.011180,0.045107,-0.019462,-0.060071,0.520000,1.101596,1.392343,-0.298504,-0.302359,-0.508165,-0.459763,0.464882,-0.550038,0.164209,-0.109076,0.570265,-0.341633,1.149800,1.238171,0.200000,-0.096282,0.300000,0.156658,0.050000,-0.050000
-0.696297,-1.013202,0.021555,-0.009753,-0.011126,0.043000,-0.014867,-0.057141,0.520000,1.137305,1.466754,-0.297666,-0.314030,-0.519468,-0.446927,0.480943,-0.565638,0.153048,-0.103821,0.577328,-0.348053,1.144775,1.232674,0.200000,-0.098355,0.300000,0.157014,0.050000,-0.050000
-0.739869,-1.042814,0.026647,-0.009136,-0.017959,0.034660,-0.004103,-0.052793,0.520000,1.174489,1.491272,-0.294992,-0.325744,-0.533409,-0.450933,0.501733,-0.591293,0.131616,-0.100578,0.584987,-0.356215,1.138423,1.224475,0.200000,-0.099428,0.300000,0.156653,0.050000,-0.050000
-0.783767,-1.051794,0.032442,-0.010290,-0.028235,0.023203,0.009747,-0.047736,0.520000,1.212409,1.490843,-0.291400,-0.337479,-0.548670,-0.463360,0.524887,-0.621977,0.105050,-0.098341,0.592945,-0.365247,1.131408,1.214926,0.200000,-0.100000,0.300000,0.155933,0.050000,-0.050000
-0.817531,-1.059361,0.031961,-0.013416,-0.031988,0.012820,0.013529,-0.040328,0.513533,1.250906,1.473927,-0.285751,-0.340492,-0.565501,-0.447154,0.546950,-0.646744,0.084203,-0.093446,0.601111,-0.374340,1.127579,1.209556,0.200000,-0.100000,0.300000,0.156769,0.050000,-0.050000
-0.845592,-1.072956,0.030734,-0.016147,-0.036091,0.004763,0.016400,-0.033945,0.507319,1.290405,1.475852,-0.283714,-0.348902,-0.614899,-0.446333,0.568284,-0.668442,0.051569,-0.086056,0.606358,-0.380560,1.116746,1.198747,0.199949,-0.100000,0.295985,0.154820,0.050000,-0.050000
