body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
0.002291,0.038285,0.034233,0.015886,0.105091,0.027763,-0.030790,0.080965,-0.100010,-0.041932,0.041927,-0.090796,0.051222,0.115018,0.005015,-0.015755,0.145068,-0.116966,0.031224,0.002180,-0.152526,0.012090,0.039829,0.061893,0.546248,0.051263,0.171581,0.540189,0.058301,0.153403,0.469799,0.050563,0.103122,-0.451221,-0.064622,-0.064219,-0.441687,-0.055520,-0.051132,-0.385580,0.011641,-0.016733
-0.003368,0.061205,0.033407,-0.009404,0.180555,0.032227,-0.054513,0.166000,-0.101443,-0.075985,0.091353,-0.083717,0.033064,0.170674,0.010296,-0.042294,0.185072,-0.125336,0.004294,0.080664,-0.160471,0.013413,0.062680,0.056650,0.484234,0.138437,0.131984,0.450981,0.169577,0.101819,0.376569,0.175707,0.052289,-0.378647,-0.012213,-0.047472,-0.355814,0.007869,-0.034447,-0.294532,0.076669,0.002782
-0.015337,0.058319,0.023554,-0.038684,0.165020,0.028692,-0.087918,0.148855,-0.116240,-0.124312,0.023097,-0.086176,0.001500,0.152138,0.011744,-0.081455,0.158430,-0.136466,-0.001509,0.021772,-0.196608,0.007401,0.060111,0.050444,0.374036,0.147354,0.099540,0.329926,0.187335,0.071756,0.253758,0.196981,0.022180,-0.297751,0.008938,-0.029418,-0.271848,0.031020,-0.021390,-0.209504,0.096888,0.017044
-0.027545,0.031055,0.009629,-0.057150,0.066242,0.018936,-0.114033,0.038154,-0.137005,-0.162713,-0.128591,-0.096953,-0.027534,0.068656,0.008686,-0.113333,0.078492,-0.144818,0.016772,-0.145395,-0.242135,-0.002863,0.033398,0.046388,0.270790,0.074018,0.090969,0.237679,0.102972,0.078333,0.163014,0.104134,0.027573,-0.248777,-0.011902,-0.019297,-0.231570,0.002204,-0.018644,-0.172801,0.062108,0.018605
-0.028857,0.036592,0.014383,-0.056675,0.069689,0.023131,-0.102028,0.060691,-0.117842,-0.157674,-0.153106,-0.086396,-0.042396,0.039541,0.021930,-0.117167,0.075934,-0.114568,0.056703,-0.226553,-0.243462,-0.019066,0.037415,0.026770,0.168877,0.059844,0.059197,0.144614,0.079840,0.058496,0.071979,0.072969,0.006825,-0.197664,0.014430,-0.018598,-0.173524,0.033714,-0.021588,-0.112118,0.090033,0.018120
-0.035295,0.061057,-0.001838,-0.087224,0.118433,0.014616,-0.114451,0.142423,-0.106604,-0.173548,-0.119258,-0.092798,-0.088967,0.110198,0.027060,-0.154248,0.183476,-0.096737,0.041240,-0.181695,-0.239443,-0.048692,0.060583,-0.005662,0.060405,0.078529,0.011643,0.035309,0.098105,0.018359,-0.032892,0.093894,-0.034657,-0.179410,0.063587,-0.033963,-0.151228,0.085972,-0.038183,-0.087783,0.142963,0.002905
-0.062648,0.090636,-0.078600,-0.198416,0.155574,-0.033235,-0.213408,0.209389,-0.151134,-0.275008,-0.095520,-0.154475,-0.212794,0.326062,0.000211,-0.286022,0.434004,-0.141525,-0.108731,0.028975,-0.269478,-0.099124,0.091347,-0.048086,-0.062390,0.104063,-0.044368,-0.105581,0.138133,-0.035945,-0.165117,0.157614,-0.091317,-0.228814,0.111100,-0.072049,-0.218030,0.119287,-0.076323,-0.159997,0.183107,-0.039677
-0.080626,0.107654,-0.089002,-0.235777,0.195131,-0.037391,-0.248204,0.217377,-0.107711,-0.302590,-0.087432,-0.129770,-0.242583,0.383388,-0.002489,-0.314326,0.490096,-0.140674,-0.132287,0.058031,-0.270945,-0.170839,0.106978,-0.062652,-0.168335,0.096634,-0.058793,-0.213438,0.131615,-0.046249,-0.259070,0.167182,-0.089779,-0.407957,0.068300,-0.125855,-0.446312,0.034593,-0.144269,-0.403257,0.087429,-0.114261
-0.080669,0.103097,-0.027976,-0.181110,0.216599,0.004337,-0.202223,0.161846,0.002268,-0.242593,-0.099665,-0.030980,-0.165419,0.252841,0.017662,-0.226361,0.323279,-0.097310,-0.017440,-0.109490,-0.244603,-0.228192,0.099153,-0.042371,-0.204754,0.059440,-0.024480,-0.234684,0.081269,-0.007457,-0.268216,0.117233,-0.030924,-0.627079,-0.043944,-0.170111,-0.721758,-0.126394,-0.209475,-0.695826,-0.096645,-0.185198
-0.103382,0.095288,0.068495,-0.082787,0.277972,0.057750,-0.135030,0.195082,-0.014481,-0.189061,-0.090594,-0.023066,-0.160930,0.155718,0.100310,-0.256109,0.245021,-0.077045,-0.001219,-0.254048,-0.253635,-0.200595,0.088264,-0.035927,-0.258751,0.035955,-0.031837,-0.295884,0.061598,-0.002032,-0.326819,0.100293,-0.016650,-0.637730,-0.149826,-0.198525,-0.738702,-0.238897,-0.246327,-0.711633,-0.209228,-0.220424
-0.098584,0.087697,0.156812,0.038488,0.334208,0.103887,-0.043377,0.232321,-0.042676,-0.103378,-0.042794,-0.030574,-0.114087,0.081193,0.165750,-0.236752,0.179828,-0.062134,0.059173,-0.328149,-0.261150,-0.090321,0.080236,-0.022040,-0.242997,0.044128,-0.044632,-0.284815,0.071265,-0.000070,-0.313043,0.107255,-0.011049,-0.381839,-0.155296,-0.152436,-0.432709,-0.203196,-0.193306,-0.387934,-0.157840,-0.159045
-0.015672,0.085207,0.193432,0.164252,0.340638,0.124235,0.079717,0.188200,0.033369,0.058253,0.060372,0.023520,0.090845,0.020810,0.134515,-0.001411,0.056431,-0.033247,0.304975,-0.278970,-0.235274,0.100339,0.080984,0.020198,-0.070453,0.102281,-0.025475,-0.089389,0.109257,0.030014,-0.105219,0.129412,0.023760,0.197410,0.031823,0.031622,0.259176,0.078199,0.017446,0.336531,0.147818,0.066360
0.051122,0.117015,0.133869,0.173165,0.363229,0.083814,0.107255,0.187427,0.083614,0.105745,0.110009,0.049764,0.231160,0.159066,0.031757,0.184691,0.126323,-0.047012,0.524565,-0.125450,-0.268166,0.197464,0.116781,0.041715,0.028080,0.198022,-0.023045,0.021726,0.194937,0.032687,0.015564,0.202776,0.030225,0.573829,0.243033,0.167390,0.713019,0.355104,0.175533,0.808947,0.436097,0.232753
0.068283,0.165676,0.008028,0.061273,0.388927,0.004326,0.025961,0.228887,0.084435,0.016421,0.079633,0.036740,0.235369,0.424593,-0.093066,0.226883,0.351895,-0.098671,0.606815,0.052552,-0.343551,0.152194,0.168708,0.031655,0.003154,0.282389,-0.039011,-0.007317,0.284325,0.005950,-0.011371,0.289482,0.004310,0.559439,0.372242,0.184825,0.702232,0.488538,0.199162,0.793390,0.562608,0.253801
0.080982,0.191827,0.008377,0.097815,0.475512,-0.005725,0.084075,0.337046,0.118125,0.077686,0.177597,0.060026,0.225304,0.455078,-0.080674,0.236297,0.417800,-0.056279,0.624401,0.155090,-0.305169,0.159033,0.196049,0.063070,0.032648,0.300078,0.000598,0.001994,0.320391,0.031973,-0.006162,0.330778,0.028636,0.502220,0.377829,0.194596,0.588333,0.445788,0.188234,0.659470,0.494432,0.235151
0.078527,0.192679,0.042509,0.158585,0.516254,0.003576,0.160560,0.410965,0.136033,0.161827,0.271467,0.070223,0.196975,0.382886,-0.030242,0.212479,0.386964,-0.003369,0.599612,0.182563,-0.249989,0.160745,0.196470,0.083828,0.052925,0.261166,0.037994,0.014167,0.288502,0.065867,0.004224,0.301152,0.061743,0.408587,0.332452,0.180364,0.433045,0.347658,0.151667,0.483290,0.371261,0.190112
0.051489,0.164877,0.018544,0.121885,0.404394,-0.014874,0.135697,0.350243,0.093042,0.142890,0.229032,0.022411,0.148256,0.339360,-0.041741,0.156343,0.320994,-0.024975,0.554894,0.133149,-0.277197,0.100907,0.167097,0.041639,0.001408,0.175616,0.015538,-0.005225,0.174159,0.063436,-0.006114,0.175295,0.063068,0.286287,0.308088,0.124081,0.298803,0.314243,0.098088,0.341740,0.331773,0.132179
0.033642,0.141634,-0.002568,0.088967,0.320760,-0.028682,0.104155,0.289103,0.056480,0.109235,0.160145,-0.012075,0.103720,0.321892,-0.048037,0.104832,0.289480,-0.041693,0.512917,0.104279,-0.298390,0.072395,0.143167,0.011396,-0.024312,0.125819,-0.006067,-0.016646,0.111342,0.052303,-0.013781,0.107708,0.053530,0.168015,0.271061,0.068028,0.161166,0.262051,0.044621,0.194027,0.275273,0.072186
0.033840,0.134611,-0.010331,0.076213,0.307149,-0.031575,0.082029,0.258115,0.043934,0.078415,0.099118,-0.016517,0.085599,0.339161,-0.046321,0.083686,0.308094,-0.045459,0.494812,0.110091,-0.302794,0.089242,0.136715,0.008483,-0.011507,0.136734,-0.015854,-0.014463,0.131433,0.037890,-0.015015,0.132129,0.037646,0.112493,0.240127,0.040801,0.088546,0.217501,0.018611,0.113520,0.230320,0.040858
0.030009,0.124748,-0.017865,0.070495,0.295921,-0.038450,0.073339,0.251210,0.022363,0.072218,0.094715,-0.041834,0.073779,0.307537,-0.048734,0.070666,0.276857,-0.049978,0.478722,0.125338,-0.303961,0.063898,0.126306,-0.000401,-0.017402,0.151339,-0.028307,-0.022931,0.148796,0.020417,-0.024099,0.150277,0.019905,0.067586,0.243131,0.030528,0.052893,0.228876,0.014369,0.079397,0.241289,0.037185
0.030125,0.124726,-0.017824,0.073075,0.296713,-0.039395,0.076070,0.262091,0.009935,0.080265,0.118148,-0.060756,0.072028,0.277648,-0.046682,0.068713,0.246914,-0.048220,0.472656,0.146081,-0.298785,0.036957,0.125582,-0.003434,-0.023530,0.169844,-0.032550,-0.028079,0.167029,0.012720,-0.028725,0.167853,0.012441,0.045200,0.264025,0.034117,0.045443,0.262681,0.023620,0.076124,0.274835,0.048747
