body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z
-0.006625,0.118875,-0.012831,0.992804,-0.004797,-0.019232,-0.013938,0.999706,-0.043529,-0.221149,-0.022366,0.974011,-0.034240,-0.115432,0.083168,0.989235,-0.006275,0.063572,-0.007331,0.997931,0.005401,-0.169405,-0.005578,0.985516,0.004782,-0.143228,-0.008963,0.989638,-0.005644,-0.140199,0.017251,0.989957,0.031011,-0.047575,0.210334,0.975979,-0.274396,-0.544540,0.072699,0.789239,-0.273427,-0.668633,0.099675,0.684275,-0.038898,-0.068961,-0.197786,0.977042,0.178429,-0.634750,-0.119949,0.742204,0.193515,-0.680930,-0.138092,0.692688
-0.007042,0.119427,-0.011757,0.992748,-0.005366,-0.019526,-0.013842,0.999699,-0.044524,-0.222286,-0.022495,0.973705,-0.034728,-0.117659,0.085499,0.988757,-0.006723,0.064780,-0.006949,0.997853,0.005467,-0.172890,-0.005097,0.984913,0.004416,-0.144152,-0.011434,0.989480,-0.005985,-0.139674,0.017033,0.990033,0.030570,-0.047228,0.210726,0.975925,-0.276396,-0.544182,0.071521,0.788895,-0.274603,-0.668685,0.099426,0.683790,-0.039070,-0.068607,-0.197247,0.977169,0.178798,-0.634480,-0.118988,0.742501,0.193523,-0.681247,-0.137506,0.692491
-0.007309,0.119866,-0.010851,0.992704,-0.005765,-0.019776,-0.013839,0.999692,-0.045276,-0.223399,-0.022674,0.973411,-0.034969,-0.119877,0.087728,0.988287,-0.007022,0.066012,-0.006542,0.997773,0.005532,-0.176302,-0.004598,0.984310,0.004027,-0.145332,-0.014010,0.989276,-0.006230,-0.139256,0.016841,0.990094,0.030234,-0.047031,0.210993,0.975887,-0.278234,-0.543965,0.070348,0.788504,-0.275614,-0.668860,0.099198,0.683244,-0.039169,-0.068458,-0.196717,0.977283,0.179252,-0.634348,-0.118002,0.742662,0.193601,-0.681699,-0.136898,0.692145
-0.007275,0.120081,-0.010285,0.992684,-0.005821,-0.019938,-0.014023,0.999686,-0.045538,-0.224469,-0.022950,0.973146,-0.034726,-0.122078,0.089763,0.987843,-0.007028,0.067289,-0.006087,0.997690,0.005595,-0.179571,-0.004065,0.983721,0.003592,-0.147021,-0.016800,0.988984,-0.006286,-0.139052,0.016704,0.990124,0.030106,-0.047135,0.211009,0.975883,-0.279756,-0.544037,0.069192,0.788018,-0.276302,-0.669284,0.099016,0.682577,-0.039123,-0.068718,-0.196203,0.977370,0.179874,-0.634494,-0.116965,0.742551,0.193820,-0.682420,-0.136245,0.691501
-0.006938,0.119967,-0.009872,0.992705,-0.005556,-0.020190,-0.014140,0.999681,-0.045446,-0.225182,-0.023058,0.972983,-0.034189,-0.123501,0.091996,0.987479,-0.006735,0.068075,-0.005521,0.997642,0.005672,-0.181838,-0.003443,0.983306,0.003225,-0.147546,-0.019216,0.988863,-0.006231,-0.139174,0.016572,0.990110,0.030173,-0.047338,0.211106,0.975850,-0.281133,-0.544024,0.068306,0.787615,-0.276900,-0.669618,0.099113,0.681993,-0.039044,-0.069031,-0.195567,0.977478,0.180419,-0.634642,-0.115849,0.742468,0.193952,-0.683140,-0.135524,0.690894
-0.006449,0.119687,-0.009535,0.992745,-0.005130,-0.020486,-0.014223,0.999676,-0.045178,-0.225717,-0.023082,0.972871,-0.033504,-0.124534,0.094329,0.987153,-0.006293,0.068617,-0.004899,0.997611,0.005754,-0.183603,-0.002777,0.982980,0.002896,-0.147487,-0.021447,0.988827,-0.006121,-0.139460,0.016444,0.990072,0.030339,-0.047591,0.211245,0.975802,-0.282438,-0.543967,0.067555,0.787252,-0.277454,-0.669906,0.099350,0.681450,-0.038948,-0.069370,-0.194869,0.977597,0.180925,-0.634791,-0.114693,0.742396,0.194041,-0.683860,-0.134769,0.690305
-0.005411,0.119310,-0.009326,0.992799,-0.004139,-0.020138,-0.013968,0.999691,-0.045038,-0.226006,-0.022823,0.972817,-0.032985,-0.125275,0.096653,0.986852,-0.005293,0.068506,-0.004289,0.997627,0.005824,-0.184651,-0.002181,0.982784,0.002655,-0.147445,-0.023081,0.988797,-0.005522,-0.139826,0.016554,0.990022,0.030983,-0.048010,0.211173,0.975777,-0.283197,-0.544146,0.066991,0.786903,-0.277498,-0.670378,0.099822,0.680899,-0.038403,-0.069806,-0.194285,0.977704,0.181879,-0.634894,-0.113358,0.742280,0.194548,-0.684536,-0.133821,0.689676
-0.004416,0.118898,-0.009354,0.992853,-0.003152,-0.019488,-0.013540,0.999713,-0.045184,-0.226720,-0.022494,0.972651,-0.032757,-0.126317,0.098685,0.986525,-0.004337,0.068162,-0.003660,0.997658,0.005895,-0.185566,-0.001564,0.982613,0.002459,-0.147261,-0.024434,0.988793,-0.004948,-0.140226,0.016691,0.989967,0.031604,-0.048482,0.210980,0.975776,-0.283900,-0.544354,0.066354,0.786560,-0.277476,-0.670878,0.100227,0.680356,-0.037891,-0.070283,-0.193741,0.977798,0.182841,-0.635062,-0.112070,0.742096,0.195065,-0.685283,-0.132914,0.688963
-0.003506,0.118415,-0.009858,0.992909,-0.002174,-0.018230,-0.012769,0.999750,-0.045908,-0.228281,-0.022033,0.972263,-0.033121,-0.127962,0.100129,0.986156,-0.003472,0.067352,-0.002988,0.997719,0.005969,-0.186214,-0.000904,0.982491,0.002355,-0.146796,-0.025224,0.988842,-0.004423,-0.140690,0.016881,0.989900,0.032178,-0.049059,0.210548,0.975821,-0.284489,-0.544622,0.065573,0.786227,-0.277320,-0.671433,0.100497,0.679832,-0.037444,-0.070845,-0.193277,0.977866,0.183819,-0.635361,-0.110873,0.741777,0.195602,-0.686174,-0.132088,0.688083
-0.002007,0.118333,-0.009507,0.992926,-0.000777,-0.011267,-0.011363,0.999872,-0.045502,-0.220500,-0.020789,0.974103,-0.033254,-0.120398,0.103296,0.986777,-0.001993,0.066795,-0.002408,0.997762,0.006026,-0.187262,-0.000381,0.982291,0.002245,-0.145901,-0.026136,0.988951,-0.003857,-0.140766,0.017091,0.989888,0.032682,-0.049453,0.209830,0.975939,-0.284978,-0.545013,0.064418,0.785875,-0.276996,-0.672114,0.100423,0.679302,-0.036859,-0.071067,-0.192609,0.978004,0.184782,-0.635621,-0.109358,0.741540,0.196107,-0.687086,-0.130938,0.687248
