body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
0.048349,-0.044320,0.151903,0.466542,0.010584,0.153409,0.113630,-0.043934,-0.039077,0.265208,0.001532,-0.046442,0.270371,-0.042762,0.146416,0.061655,0.000049,-0.021954,0.228510,-0.047844,0.134231,-0.509757,-0.132060,0.152676,-0.084716,0.018061,0.089709,0.021488,0.033043,-0.054072,-0.069192,0.014457,-0.025658,-0.249157,-0.208361,0.190187,-0.175923,-0.113486,0.068231,-0.167077,-0.132716,0.077765
0.062735,-0.060522,0.180341,0.519507,-0.017947,0.178356,0.203673,-0.047863,-0.061966,0.364457,0.000214,-0.069596,0.300867,-0.051559,0.176191,0.127207,-0.004283,-0.009642,0.276095,-0.051674,0.143893,-0.492631,-0.186521,0.191367,-0.048621,-0.054690,0.117376,0.045476,-0.039002,-0.020146,-0.049843,-0.055765,0.008703,-0.260432,-0.262967,0.221593,-0.198230,-0.175061,0.091474,-0.189163,-0.194693,0.101371
0.068696,-0.073285,0.200246,0.544542,-0.044112,0.194826,0.254652,-0.055222,-0.079864,0.419865,-0.006072,-0.087434,0.301193,-0.060806,0.197129,0.160170,-0.009958,-0.002219,0.273977,-0.056921,0.149782,-0.473717,-0.206366,0.205783,-0.043317,-0.097372,0.128642,0.043460,-0.084052,0.004520,-0.054621,-0.098085,0.032805,-0.266001,-0.272289,0.234597,-0.216611,-0.193186,0.096556,-0.207389,-0.213059,0.106803
0.063280,-0.076259,0.201655,0.529166,-0.054517,0.194660,0.240836,-0.061565,-0.083776,0.403545,-0.013428,-0.090985,0.271304,-0.065842,0.198672,0.144115,-0.013892,-0.003460,0.223331,-0.060787,0.148911,-0.462835,-0.182141,0.188943,-0.071800,-0.089359,0.117414,0.015901,-0.080628,0.006939,-0.081680,-0.092299,0.034079,-0.263453,-0.231438,0.222936,-0.222275,-0.158872,0.080934,-0.213033,-0.178688,0.091378
0.050913,-0.055960,0.204953,0.462046,-0.054429,0.194207,0.171436,-0.061670,-0.076413,0.367410,-0.004026,-0.084824,0.207127,-0.060573,0.199568,0.116191,-0.007170,-0.008225,0.157293,-0.051209,0.135804,-0.424271,-0.131618,0.183089,-0.109887,-0.067105,0.122640,-0.037135,-0.056744,0.018646,-0.094482,-0.073215,0.038177,-0.282798,-0.166170,0.207644,-0.263778,-0.111597,0.064155,-0.255031,-0.130259,0.074204
0.043202,-0.027193,0.201089,0.366657,-0.042972,0.187944,0.084303,-0.049031,-0.071231,0.318219,0.019436,-0.080928,0.133085,-0.044423,0.194258,0.083954,0.010066,-0.018726,0.110412,-0.032000,0.119141,-0.359262,-0.072213,0.179023,-0.140709,-0.036803,0.133930,-0.089919,-0.022184,0.033580,-0.104621,-0.044283,0.045438,-0.300260,-0.092590,0.186949,-0.305457,-0.058898,0.047321,-0.297540,-0.075703,0.056553
0.052077,-0.004124,0.181278,0.266513,-0.018685,0.171279,0.017079,-0.015954,-0.080452,0.262578,0.055508,-0.090327,0.073599,-0.016033,0.177662,0.054899,0.038582,-0.036661,0.117214,-0.006278,0.108070,-0.268670,-0.020812,0.167049,-0.146968,-0.004479,0.140865,-0.116248,0.013463,0.045761,-0.123255,-0.008743,0.055950,-0.291874,-0.025336,0.158984,-0.311257,-0.006800,0.031257,-0.304328,-0.021431,0.039435
0.058951,0.037164,0.149449,0.117009,0.015186,0.141922,-0.080000,0.029250,-0.094995,0.140089,0.092886,-0.103656,-0.006870,0.029485,0.149315,-0.010620,0.081930,-0.057597,0.073337,0.035627,0.089756,-0.152424,0.055483,0.142586,-0.176211,0.054274,0.148339,-0.176207,0.076270,0.065902,-0.177955,0.055517,0.074409,-0.294511,0.071458,0.110227,-0.322967,0.075631,0.007965,-0.317622,0.064393,0.014353
0.060244,0.076059,0.121560,-0.007360,0.042135,0.114395,-0.158446,0.064936,-0.107699,0.011884,0.113777,-0.114270,-0.068278,0.069553,0.123341,-0.079928,0.118746,-0.071013,0.000583,0.073220,0.073401,-0.068494,0.118083,0.117808,-0.213853,0.109530,0.152617,-0.239906,0.134116,0.083936,-0.241433,0.115664,0.091598,-0.306716,0.149157,0.064969,-0.334570,0.146680,-0.011047,-0.330615,0.138387,-0.006256
0.043632,0.124168,0.075716,-0.160492,0.069615,0.066703,-0.198471,0.112756,-0.118729,-0.083626,0.145387,-0.123073,-0.180112,0.119071,0.080143,-0.124931,0.153571,-0.061436,-0.064460,0.109954,0.077618,0.024432,0.181955,0.063725,-0.254101,0.183749,0.136120,-0.316646,0.216587,0.069423,-0.318128,0.198311,0.077115,-0.331745,0.229301,-0.015376,-0.340112,0.230968,-0.048555,-0.337922,0.226389,-0.045870
