body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
-1.315623,-0.185323,0.812428,-1.433968,-0.187751,0.680973,-1.448088,-0.183666,0.375064,-1.354760,-0.479358,0.440161,-1.201512,-0.173633,0.677759,-1.208253,-0.159719,0.372011,-1.207186,-0.457823,0.471737,-1.315125,-0.191295,0.866235,-1.459914,-0.176430,1.099210,-1.494947,-0.100919,0.934667,-1.489446,0.060638,0.847663,-1.179899,-0.162007,1.103806,-1.166292,-0.077777,0.940483,-1.223643,0.069900,0.847932
-1.315695,-0.186731,0.811684,-1.433969,-0.189332,0.680166,-1.448313,-0.183369,0.374302,-1.355316,-0.479355,0.438492,-1.201540,-0.174753,0.677078,-1.208295,-0.159963,0.371370,-1.207525,-0.457983,0.471271,-1.315236,-0.192661,0.865496,-1.460575,-0.175930,1.098043,-1.495717,-0.100589,0.933447,-1.489860,0.061056,0.846653,-1.180624,-0.160837,1.103115,-1.166565,-0.077220,0.939514,-1.223870,0.070221,0.846559
-1.315744,-0.188508,0.811027,-1.433890,-0.191219,0.679392,-1.448546,-0.182983,0.373600,-1.355872,-0.479407,0.436216,-1.201491,-0.176134,0.676541,-1.208325,-0.160314,0.370885,-1.207786,-0.458148,0.471243,-1.315338,-0.194425,0.864840,-1.461241,-0.175638,1.096923,-1.496571,-0.100474,0.932288,-1.490452,0.061272,0.845726,-1.181365,-0.159792,1.102459,-1.166825,-0.076748,0.938606,-1.224080,0.070452,0.845238
-1.315783,-0.190470,0.810412,-1.433772,-0.193259,0.678635,-1.448791,-0.182553,0.372944,-1.356431,-0.479478,0.433647,-1.201405,-0.177645,0.676077,-1.208355,-0.160720,0.370482,-1.208010,-0.458315,0.471437,-1.315435,-0.196389,0.864225,-1.461917,-0.175452,1.095810,-1.497470,-0.100469,0.931142,-1.491135,0.061385,0.844823,-1.182123,-0.158811,1.101803,-1.167087,-0.076318,0.937715,-1.224290,0.070637,0.843931
-1.315762,-0.192138,0.810196,-1.433654,-0.195115,0.678339,-1.449127,-0.182281,0.372756,-1.357000,-0.479261,0.433463,-1.201323,-0.178950,0.675950,-1.208345,-0.160949,0.370417,-1.208144,-0.458445,0.471555,-1.315453,-0.198018,0.864014,-1.462520,-0.174632,1.095038,-1.498299,-0.100296,0.930127,-1.491867,0.061385,0.843520,-1.182808,-0.157169,1.101454,-1.167405,-0.075665,0.936905,-1.224608,0.070754,0.842287
-1.315708,-0.193862,0.810002,-1.433482,-0.197087,0.678046,-1.449366,-0.182054,0.372590,-1.357559,-0.479163,0.433065,-1.201194,-0.180288,0.675861,-1.208295,-0.161215,0.370394,-1.208186,-0.458662,0.471581,-1.315455,-0.199691,0.863824,-1.463285,-0.173894,1.094151,-1.499162,-0.100210,0.928970,-1.492628,0.061291,0.842066,-1.183673,-0.155465,1.101167,-1.167817,-0.075038,0.936130,-1.224992,0.070755,0.840533
-1.315591,-0.195693,0.809850,-1.433200,-0.199284,0.677760,-1.449403,-0.181912,0.372452,-1.358094,-0.479299,0.432221,-1.200969,-0.181691,0.675849,-1.208159,-0.161557,0.370451,-1.208043,-0.459049,0.471419,-1.315426,-0.201450,0.863679,-1.464363,-0.173322,1.093068,-1.500090,-0.100293,0.927566,-1.493447,0.061014,0.840342,-1.184885,-0.153640,1.101036,-1.168410,-0.074460,0.935456,-1.225495,0.070528,0.838589
-1.315420,-0.197361,0.809647,-1.432883,-0.201342,0.677446,-1.449404,-0.181738,0.372296,-1.358624,-0.479392,0.431447,-1.200712,-0.182956,0.675767,-1.208029,-0.161986,0.370426,-1.207905,-0.459492,0.471301,-1.315321,-0.203040,0.863485,-1.465158,-0.172623,1.092040,-1.500791,-0.100354,0.926186,-1.494079,0.060701,0.838534,-1.185805,-0.151793,1.100708,-1.168896,-0.073847,0.934585,-1.225936,0.070343,0.836508
-1.315222,-0.198946,0.809420,-1.432548,-0.203327,0.677118,-1.449397,-0.181550,0.372140,-1.359157,-0.479463,0.430713,-1.200439,-0.184152,0.675650,-1.207907,-0.162459,0.370361,-1.207772,-0.459962,0.471204,-1.315179,-0.204545,0.863265,-1.465817,-0.171865,1.091024,-1.501382,-0.100408,0.924805,-1.494617,0.060363,0.836671,-1.186586,-0.149942,1.100264,-1.169333,-0.073222,0.933605,-1.226349,0.070169,0.834349
-1.315181,-0.200332,0.809176,-1.432411,-0.205072,0.676809,-1.449456,-0.181474,0.371983,-1.359693,-0.479540,0.430378,-1.200371,-0.185077,0.675483,-1.207936,-0.162929,0.370228,-1.207871,-0.460473,0.470940,-1.315162,-0.205897,0.863025,-1.466329,-0.171605,1.090225,-1.501896,-0.100949,0.923664,-1.495165,0.059545,0.835030,-1.187206,-0.148612,1.099744,-1.169830,-0.073052,0.932567,-1.226842,0.069529,0.832150
