joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.270765,0.270766,-0.001461,0.027467,-0.035651,-0.007870,0.161752,-0.104553,0.045355,1.720836,1.821973,-0.215114,-0.238337,-0.358064,-0.651056,0.160491,-0.132708,-0.258762,-0.047145,-0.250685,0.477539,0.751449,0.725983,-0.091428,0.026718,0.300000,0.300000,-0.049998,-0.050000
0.266312,0.268152,-0.001999,0.027627,-0.037228,-0.007999,0.162598,-0.107103,0.056332,1.727149,1.827960,-0.223483,-0.248051,-0.359360,-0.654548,0.162140,-0.134286,-0.256901,-0.047383,-0.247976,0.476197,0.750989,0.722275,-0.091153,0.026536,0.300000,0.300000,-0.049997,-0.050000
0.259683,0.263229,-0.002995,0.027636,-0.038401,-0.008360,0.163278,-0.109371,0.069303,1.733891,1.835136,-0.233918,-0.259675,-0.361087,-0.658380,0.164202,-0.136035,-0.254992,-0.047650,-0.245366,0.474394,0.750123,0.717876,-0.090923,0.026271,0.300000,0.300000,-0.049998,-0.050000
0.250877,0.255930,-0.004064,0.027447,-0.039325,-0.009062,0.163618,-0.111401,0.084283,1.741537,1.843332,-0.246282,-0.272882,-0.363464,-0.662769,0.166736,-0.137979,-0.253945,-0.048042,-0.242912,0.472238,0.748661,0.713089,-0.090755,0.025948,0.300000,0.300000,-0.049999,-0.050000
0.240971,0.247433,-0.005172,0.027158,-0.040124,-0.009936,0.163788,-0.113314,0.100283,1.749641,1.852046,-0.259623,-0.286893,-0.366167,-0.667440,0.169509,-0.140022,-0.253330,-0.048496,-0.240534,0.469902,0.746898,0.708104,-0.090617,0.025596,0.300000,0.300000,-0.050000,-0.050000
0.226730,0.235075,-0.005502,0.028256,-0.040168,-0.013045,0.162339,-0.115900,0.118796,1.757078,1.862937,-0.276475,-0.301795,-0.367606,-0.672524,0.173120,-0.142631,-0.255353,-0.048818,-0.238198,0.466883,0.742793,0.702796,-0.090594,0.025131,0.300000,0.300000,-0.050000,-0.050000
0.211598,0.221857,-0.005888,0.029478,-0.040176,-0.015866,0.160486,-0.118378,0.137782,1.765275,1.874990,-0.293894,-0.317329,-0.368996,-0.677773,0.176929,-0.145597,-0.257376,-0.049100,-0.236105,0.463655,0.738225,0.697482,-0.090636,0.024638,0.300000,0.300000,-0.050000,-0.050000
0.194703,0.206938,-0.006382,0.030947,-0.040114,-0.018109,0.157828,-0.120636,0.157693,1.774981,1.889351,-0.312429,-0.334110,-0.370284,-0.683346,0.181127,-0.149278,-0.259396,-0.049301,-0.234501,0.460015,0.732739,0.692163,-0.090809,0.024093,0.300000,0.300000,-0.050000,-0.050000
0.175698,0.190904,-0.006760,0.033111,-0.039423,-0.022280,0.154322,-0.123613,0.179817,1.784158,1.905431,-0.329660,-0.352085,-0.368790,-0.689154,0.185577,-0.153231,-0.260762,-0.049208,-0.231304,0.456129,0.723874,0.686040,-0.090818,0.023501,0.298901,0.300000,-0.049999,-0.050000
0.155657,0.174328,-0.007079,0.035619,-0.038418,-0.027413,0.150395,-0.126946,0.203026,1.793061,1.922356,-0.346223,-0.370641,-0.365907,-0.695073,0.190148,-0.157318,-0.261800,-0.048968,-0.227313,0.452124,0.713327,0.679521,-0.090745,0.022886,0.297254,0.300000,-0.049999,-0.050000
