body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
-0.002140,-0.089111,-0.031665,-0.012433,-0.053274,-0.010057,-0.039655,0.039305,-0.070027,-0.049571,0.029788,-0.142097,-0.011206,-0.045282,-0.018216,-0.026336,0.010281,-0.022206,-0.029005,0.017369,-0.019798,-0.015480,-0.017093,-0.039435,-0.025759,-0.005898,-0.045170,-0.034722,0.000651,-0.033287,-0.028076,0.009682,-0.015288,-0.016889,0.026680,-0.038794,-0.007293,0.012199,-0.048268,-0.006667,0.005340,-0.056589
0.000612,-0.086790,-0.020636,-0.008629,-0.052151,-0.000371,-0.033434,0.042704,-0.043764,-0.042284,0.038277,-0.091655,-0.006486,-0.041692,-0.005182,-0.016866,0.015292,-0.012718,-0.018793,0.021577,-0.016174,-0.018230,-0.006982,-0.030018,-0.028711,0.001634,-0.040536,-0.037217,-0.000996,-0.036529,-0.032969,0.001825,-0.029969,-0.020888,0.036388,-0.029357,-0.010991,0.013488,-0.045860,-0.009709,-0.000098,-0.062286
0.004844,-0.081262,-0.010160,-0.000773,-0.048187,0.007098,-0.019473,0.048746,-0.019825,-0.029132,0.049173,-0.043708,0.001529,-0.033653,0.008978,-0.000680,0.024702,-0.006446,-0.002156,0.028456,-0.022378,-0.027132,0.002779,-0.021244,-0.037182,0.007012,-0.041346,-0.040099,-0.003167,-0.044769,-0.035970,-0.006046,-0.049009,-0.031530,0.045400,-0.015877,-0.017880,0.013162,-0.040359,-0.013606,-0.008236,-0.067607
0.008388,-0.084276,-0.008555,0.004724,-0.048852,0.009377,-0.013240,0.056562,-0.028819,-0.027447,0.054690,-0.070111,0.004740,-0.029869,0.014225,0.005233,0.032922,-0.009468,0.005915,0.033841,-0.037406,-0.036944,-0.005673,-0.020910,-0.046320,-0.006220,-0.049347,-0.042593,-0.012317,-0.050804,-0.038034,-0.013974,-0.052628,-0.043109,0.040745,-0.007863,-0.024166,0.006147,-0.034784,-0.016301,-0.019166,-0.068643
0.012270,-0.082426,-0.008750,0.010539,-0.046874,0.009035,-0.006075,0.062053,-0.034790,-0.023839,0.058687,-0.085570,0.008636,-0.025702,0.015663,0.011321,0.035928,-0.011594,0.013203,0.034532,-0.044916,-0.038945,-0.008420,-0.022086,-0.047073,-0.012396,-0.054117,-0.039448,-0.018192,-0.056158,-0.035093,-0.020438,-0.058965,-0.046567,0.038542,-0.006580,-0.026545,0.002572,-0.034670,-0.017181,-0.025072,-0.071554
0.014552,-0.076653,-0.010646,0.013718,-0.043312,0.006345,-0.001730,0.062386,-0.034439,-0.020262,0.059013,-0.082049,0.011257,-0.023243,0.012582,0.014510,0.032216,-0.011752,0.016033,0.030153,-0.041160,-0.032252,-0.004035,-0.024597,-0.039242,-0.008402,-0.053847,-0.032255,-0.017929,-0.058753,-0.028504,-0.022355,-0.065530,-0.040272,0.039913,-0.013249,-0.024006,0.004120,-0.040690,-0.016098,-0.023181,-0.075549
0.009772,-0.070540,-0.011705,0.007850,-0.045412,0.004665,-0.006496,0.046934,-0.025431,-0.023914,0.045947,-0.060677,0.004759,-0.024143,0.005803,0.006041,0.017770,-0.013333,0.006734,0.015316,-0.036444,-0.025126,-0.003371,-0.025118,-0.030898,-0.012406,-0.047776,-0.027978,-0.027874,-0.057245,-0.026947,-0.034447,-0.068429,-0.033389,0.035419,-0.021825,-0.023939,-0.003938,-0.051627,-0.018792,-0.034378,-0.087261
0.002943,-0.061181,-0.010177,-0.001060,-0.046207,0.005013,-0.016679,0.026676,-0.012221,-0.033323,0.028177,-0.032635,-0.004648,-0.023498,0.000172,-0.008163,0.002780,-0.013110,-0.009008,0.000934,-0.029650,-0.017390,-0.004666,-0.021803,-0.022125,-0.019797,-0.036148,-0.024930,-0.040573,-0.049607,-0.027934,-0.049202,-0.064853,-0.025653,0.027280,-0.027027,-0.024047,-0.015587,-0.059066,-0.022347,-0.049257,-0.095042
-0.000963,-0.045643,-0.004315,-0.007203,-0.038783,0.008613,-0.028734,0.012686,0.001204,-0.046913,0.014700,-0.008726,-0.010926,-0.016354,0.000526,-0.022452,-0.002524,-0.007757,-0.025650,-0.002059,-0.019529,-0.008773,-0.006345,-0.013229,-0.012883,-0.026199,-0.019732,-0.021333,-0.048702,-0.034318,-0.028859,-0.059216,-0.052404,-0.016759,0.017549,-0.024257,-0.022140,-0.024802,-0.055283,-0.024041,-0.058209,-0.087909
-0.006833,-0.024366,0.003982,-0.016330,-0.029345,0.014115,-0.045894,-0.009857,0.020610,-0.066131,-0.008473,0.027306,-0.020664,-0.007098,0.000181,-0.043478,-0.009077,0.001644,-0.049183,-0.005591,0.002001,0.005107,-0.006350,-0.000779,0.001345,-0.032375,0.004112,-0.017097,-0.060235,-0.014152,-0.032648,-0.075631,-0.039883,-0.001880,0.004858,-0.020837,-0.017464,-0.038453,-0.051402,-0.025477,-0.071695,-0.079137
