joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.020238,0.000612,-0.012868,0.001013,0.015781,0.008098,-0.006215,0.021707,-0.008247,-0.061795,-0.008911,0.049389,0.050306,-0.010595,0.002424,-0.041828,0.056719,-0.010812,-0.017639,-0.002411,0.024451,0.039667,0.046620,-0.000052,0.006039,0.000000,0.000000,-0.000000,-0.000000
0.040370,0.017098,-0.012280,0.004551,0.014497,0.006732,-0.002749,0.020577,-0.026816,-0.069737,-0.018024,0.062181,0.067563,-0.004491,0.004891,-0.038014,0.051763,-0.008784,-0.018486,-0.007752,0.021847,0.043468,0.050381,-0.000169,0.005697,0.000000,0.000000,-0.000000,-0.000000
0.058889,0.033578,-0.010249,0.006919,0.012274,0.003901,0.001077,0.020790,-0.045357,-0.073192,-0.030664,0.073776,0.081894,-0.000297,0.006306,-0.034546,0.044163,-0.006856,-0.019699,-0.012574,0.019885,0.043976,0.054649,-0.000180,0.005506,0.000000,0.000000,-0.000000,-0.000000
0.068589,0.042241,-0.009009,0.006071,0.012050,0.001960,0.003281,0.021392,-0.056688,-0.074527,-0.041470,0.077731,0.085191,0.001495,0.002769,-0.037467,0.036926,-0.005565,-0.019864,-0.016394,0.018127,0.037947,0.056626,-0.000185,0.005351,0.000000,0.000000,-0.000000,-0.000000
0.075136,0.052997,-0.008071,0.001059,0.011801,0.000805,0.004932,0.025308,-0.069563,-0.076491,-0.052720,0.079788,0.085085,0.001734,0.000244,-0.036770,0.023125,-0.005015,-0.019584,-0.017752,0.013980,0.030859,0.054061,-0.000130,0.004839,0.000000,0.000000,-0.000001,-0.000000
0.075257,0.060472,-0.007902,-0.005617,0.011647,0.001011,0.005208,0.030577,-0.077548,-0.078094,-0.058803,0.078908,0.081617,0.000299,-0.000004,-0.032796,0.009641,-0.005479,-0.018997,-0.015971,0.009510,0.026242,0.048225,-0.000042,0.004223,0.000000,0.000000,-0.000000,-0.000001
0.072585,0.064667,-0.007375,-0.008305,0.005864,-0.001160,0.007742,0.032058,-0.085807,-0.072795,-0.055116,0.066058,0.068955,-0.003142,0.007588,-0.024285,-0.007152,-0.006291,-0.021167,-0.007967,0.003439,0.018543,0.037986,0.000082,0.003364,0.000000,0.000000,0.000000,-0.000000
0.067867,0.062617,-0.009471,-0.011108,0.000766,-0.006621,0.010557,0.028132,-0.091718,-0.063848,-0.046152,0.050104,0.052477,-0.003958,0.012189,-0.012825,-0.023240,-0.007258,-0.023279,0.002965,-0.005145,0.011636,0.013801,0.000244,0.001854,0.000000,0.000000,0.000001,0.000000
0.061855,0.051357,-0.017168,-0.018121,0.002676,-0.016286,0.011674,0.017176,-0.092653,-0.054538,-0.036407,0.039925,0.037570,0.002478,0.002964,-0.000013,-0.034586,-0.008188,-0.022519,0.013523,-0.017141,0.009409,-0.033860,0.000448,-0.000710,0.000000,0.000000,0.000001,-0.000000
0.053428,0.043803,-0.018372,-0.020531,-0.001557,-0.015404,0.016174,0.006191,-0.088540,-0.040492,-0.027561,0.024533,0.025050,0.004912,-0.003524,0.003766,-0.049016,-0.009294,-0.020393,0.018476,-0.028505,0.001408,-0.056711,0.000305,-0.002658,0.000000,0.000000,0.000001,-0.000000
